Lexeme	Alibeglo1	Arkhit1	Arkhit2	Arkhit3	Arkhit4	Arkhit5	Arkhit6	Bezhta1	D_Agul	D_Arabic	D_Avar	D_Azerbaijani	D_Bezhta1	D_Botlikh	D_Chechen	D_Gagatli	D_Georgian	D_Hinuq	D_Karata	D_Kumyk	D_Lezgian	D_Russian	D_Rutul	D_Tabasaran	D_Tsez	Darvag1	Darvag2	Darvag3	Darvag4	Darvag5	Darvag6	Dyubek1	Dyubek2	Dyubek3	Dyubek4	Dzhavgat1	Dzhavgat2	Dzhavgat3	Dzhavgat4	Dzhibakhni1	Dzhibakhni2	Dzhibakhni3	Dzhibakhni4	Helmets1	Helmets2	Helmets3	Ikhrek1	Ikhrek2	Ikhrek3	Ikhrek4	Ilisu1	Karata1	Karata2	Karata3	Karata4	Khapil1	Khapil2	Khapil3	Khapil4	Khapil5	Khiv1	Khiv2	Khiv3	Khiv4	Khlut1	Khlut2	Khlut3	Khlut4	Khlut5	Khoredzh1	Khoredzh2	Khoredzh3	Khoredzh4	Khoredzh5	Khoredzh6	Khutkhul1	Khutkhul2	Khutkhul3	Khutkhul4	Kiche1	Kiche2	Kidero1	Kidero2	Kidero3	Kina1	Kina2	Kina3	Kurag1	Laka1	Laka2	Laka3	Laka4	Laka5	Laka6	Meshabash1	Meshabash2	Mikik1	Mikik2	Qax1	Qax2	Qax3	Qax4	Qax5	Qax6	Qax7	Qax8	Qax9	Qum1	Qum2	Rikvani1	Rutul1	Tad-Magitl1	Tad-Magitl2	Tatil1	Tatil2	Tatil3	Tatil4	Tatil5	Tpig1	Tsinit1	Tsinit2	Tsinit3	Tsinit4	Tsinit5	Tukita1	Yagdyg1	Yagdyg2	Yagdyg3	Yagdyg4	Yagdyg5	Yagdyg6	Yersi1	Yersi2	Yersi3	Yersi4	Zilo1	Zilo2	D_Persian	D_Archi	D_Bezhta2	Tlibisho1	Tlibisho2	Tlibisho3	Tlibisho4	D_Bagvalal	Kusur1
the cattle	7 3	22	22	22	22	22	5	5	NA	8	5 12	7	5	12	NA	13	NA	5	27	7 26	7	20	17 7	7	5	24	22 5	22	22 24 7	7	7	22	22	22	22	5	5	5	5	5	5	5	5	7	2	2	16 17	16 7	17 18 7 22	17 22	6	NA	NA	NA	12	21 22	22	22	22	22	22	22	22	22	7	19 22	25	7 23	7	22	22	22	22	22	22	22	22	22	22	16	22	15	17	14	22	22	7	7 22	22	22	22	22	22	22	3	3	5 7 22	10 7 2	7	7	NA	3	3	NA	7	7	7	2	2 5 7	13 12	16	NA	NA	22	7	22	22	22	22	22 24	22	22	7	22	NA	29	22	11	22	22	22	7	7	22	22	13 12	13 12	1 4	9	5	27	NA	NA	NA	30	30
the cave	5	1	3	1	1 21	1	1	9	23	6 8	9	1	9	22	31	22	5	15	NA	9	3 19	20	NA	1 6	15	20	1	20	20	1 20	20	6	NA	6	NA	20	14	20	14	NA	14	28	29	18	18	18	NA	NA	12	30	1	22	NA	22	NA	6	6	14	6	20	13	NA	14 14	1 14	17	17	NA	1	17	NA	NA	14	1	6	14	26	23	1	23	NA	NA	NA	20	15	6	27	25	23	NA	NA	NA	14	NA	14	5	5	16	16	1	1	1	NA	NA	5	1 11	1	1	NA	NA	22	NA	NA	NA	NA	6	6	20 24	NA	23	1	1	1	1	1	NA	20	NA	1 20	NA	6	20	1	1	NA	20	20	22	2 3 4 6 7 8 1 10	9	9	22	NA	9 22	9 22	22	9
the chain	8	8	8	8	8	8	8	10	8	6	5 8	8	5	5	17	5	9	14	5	8	16	7	NA	8	11 13	8	8	8	8 8 7	8	8	8	8	8	8	7	5	7	5	7	5	5	7	8	NA	8	15	15	15	15	1 8	5	5	5	5	8	8 7	8	8	8	8	8	8	8	8	8	7	8	8	8	8	8 12	8	8	8 12	7	8	8	8	7	8	11	11	11	NA	8	8	8	8	8	8	8	8	8	8	8	8	8	7 8	2 8	7 8	8	8	8	1 8	2 8	7 8	8	8	5	8	5	5 7	8	8	8	8	8	8	8	8	8	8	8	5	8	8	8	8	8	7	8	8	8 7	8 7	5	5	8	3	4 5	5	5	5	5	5	8
the clan	NA	11	11	11	11	11	11	21 11	11	1 3 4	11	11	NA	NA	NA	NA	5	20 21 6 27 11 28 29	18 11	11	20	25 11	21 11 11 26	26 27 11	21	24	23	24	23 11	24	24	23	23 11	23	23 11	11	11	11	11	11	11	11	11	11	6 11	11	11	11	11 26	21 11	6	11	21 25 11 28	11	21	23	23	11	23	23	11	11	11	11	26	20 26	26	11	26	11	11	24 11	11	11	24 11	11	11	11	11	11	11	13 21 11	21 11	21 11	22 11	14 22 11	11 30	11	11	11	20	11	11	11	10	10	11	11	11	6 11	11	12	6 12	12	7 11	6 11	11	17	6	19	11 26	21	16	20	11	23	11	23	11	11	11	11	11	11	21 11	15	23	15	11	23	23	8	11	11	8 23	NA	NA	9	11	2	21	21	11	11	NA	NA
the clothing or clothes	1 1	33	3	3	13 3	33	3	7	21 23	2 8 12	30	3	7	29	14	31	1	27 30 34 34	20	4 25	16 2 3 26	24	15 15	3	34	3	3	3	3 3	3	3	3	3	3	17	3	3	3	3	3	3	3	3	3	22	3	15	15	19	15	4 3	28	28	28	28	23	3	23	3	17	3	23	23 33	3	26	26	26	3 26	26	23	23	3	23	3	3	23	23	23	23	15	15	34	34	34	15	15	15	21	23 3	3	3	3	3	3	1	1	3	3	3	4 3	4 3	10	10	1 1	3	3	3	32	NA	31	15	35	35	3	3	23	17	3	23	13 3	3	3	16	3	18	3	17 3	3	17	3	3	3	3	3	3	31	31	2 6 2 8 9 11	5	7	36	NA	36	36	36	NA
the cock/rooster	2	11	11	11	11	11	11	2	11	1	15	3	2	12	7 13	6	2	8	16	5	11	14	9	10	2	5	5	5	5 5	5	5	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	9	9	9	5	16	16	16	16	10	10	10	10	10	10	10	10	10	11	11	NA	11	11	10	10	10	10	10	10	10	11	11	11	9	9	2	2	2	9	9	9	10	10	10	10	10	10	10	2	2	9	9	5	4 5	5	2	2	2	5	4 5	5	9 5	5	6	9	15	15	10	10	10	10	10	11	11	11	11	11	11	16	10	10	10	10	10	10	5	5	5	5	15	15	NA	NA	NA	15	NA	15	15	12	15
the colour/color	3	5	5	5	9 5	5	5	11	5	1	11	12 5 15	11	11	NA	6	3	11	11	7 5 13	5	14	2 5	NA	11	10	5	5	5 5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	11	11	11	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	11	11	11	5	8	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	3	3	3	5	5	5	5	5	6	5	11	11	NA	5	5	5	5	5	5	5	5	9 5	5	11	5	5	5	5	5	5	12 5 15	5	5	5	6	6	4 5	5	11	NA	11	11	11	11	5
the copper	7	23	23	23	23	19 23	23	8	1	6	21	5	8	NA	20	8	7	8 21	14 21	9 8	23	19	15	1	8 21	5	5	5	19 5 5	5	5	1	NA	11 1	NA	4	4	4 19	16	4	4	4	16	5	NA	NA	15	15	15	15	5	14 21	10 14 19 21	14	10	NA	17	1 1	1	22	1	NA	1	1	23	23	23	24	23	1	1	1 18	19	NA	18	22	1	1	19	15	15	12	NA	21	15	15	15	1	1	1	1	1	1	1	7	7	25	25	5	5	5	7	7	7	5	5	5	5	8	NA	15	13	13	NA	2	1	19	NA	1	23	23	23	23	23	21	19	1	19	NA	17	19	5	5	NA	5	NA	NA	5	3	4 8	21	NA	21	8	21	NA
the corpse	2 6 9	9	9	9	9	9	9	4	9	5	13 4	1	4	NA	14	21	2	4 21	4	16 20 22	9	23	9	9	24	9	9	9	9 9	9	9	9	9	9	9	4	4	4	4	4	4 18	4 18	18	25	9	25	9	9	9	9	9	4	4 19	4	4	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4	16	4	4	9	15	4 9	9	9	9	9	9	9	6	6	20	4	11	12	11	6	6	6	1 9	12	11	9	9	21	9	4	4	9	9	9	9	9	9	17 9	9	9	9	9	4 19	9	9	9	9	9	9	9	9	9	9	NA	NA	1 4 7 8 8 10	4	4	4	4	4	4	16	NA
the cross	6 4	NA	3	3	3 4	NA	4	4	4	5	4	2	4	4	7	4	NA	4	9	4	4	3	4	4	4	3	NA	3	3	3	3	NA	3	4	3	3	4	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	3 9	3	3	NA	NA	NA	NA	3	3	NA	4	4	4	4	4	4	4	4	4	NA	4	8	3	4	3	4	4	4	4	4	4	4	9	4	4	4	4	4	4	4	4	3	4	6 4	6 4	4	4	4	3 4	4	6	6	6	4	3 4	4	4	4	4	4	4	NA	NA	NA	NA	3	NA	3	4	NA	4	3 4	4	4	NA	NA	NA	NA	NA	3	4	NA	NA	3	3	3	1	4	4 4	4	4	4	4	4	4
